word,best_rank,category_hint,priority,note
"your","24","common","P1","Recommended for general learning coverage"
"have","26","common","P1","Recommended for general learning coverage"
"about","36","common","P1","Recommended for general learning coverage"
"has","40","common","P1","Recommended for general learning coverage"
"but","43","common","P1","Recommended for general learning coverage"
"our","44","common","P1","Recommended for general learning coverage"
"time","50","common","P1","Recommended for general learning coverage"
"which","57","common","P1","Recommended for general learning coverage"
"their","58","common","P1","Recommended for general learning coverage"
"news","59","common","P1","Recommended for general learning coverage"
"out","60","common","P1","Recommended for general learning coverage"
"use","61","common","P1","Recommended for general learning coverage"
"any","62","common","P1","Recommended for general learning coverage"
"his","67","common","P1","Recommended for general learning coverage"
"contact","69","common","P1","Recommended for general learning coverage"
"business","71","common","P1","Recommended for general learning coverage"
"view","79","common","P1","Recommended for general learning coverage"
"been","85","common","P1","Recommended for general learning coverage"
"would","86","common","P1","Recommended for general learning coverage"
"were","88","common","P1","Recommended for general learning coverage"
"services","91","common","P1","Recommended for general learning coverage"
"these","93","common","P1","Recommended for general learning coverage"
"its","95","common","P1","Recommended for general learning coverage"
"like","96","common","P1","Recommended for general learning coverage"
"service","97","common","P1","Recommended for general learning coverage"
"than","99","common","P1","Recommended for general learning coverage"
"price","101","common","P1","Recommended for general learning coverage"
"date","102","common","P1","Recommended for general learning coverage"
"top","104","common","P1","Recommended for general learning coverage"
"people","105","common","P1","Recommended for general learning coverage"
"had","106","common","P1","Recommended for general learning coverage"
"list","107","common","P1","Recommended for general learning coverage"
"just","109","common","P1","Recommended for general learning coverage"
"over","110","common","P1","Recommended for general learning coverage"
"state","111","common","P1","Recommended for general learning coverage"
"into","114","common","P1","Recommended for general learning coverage"
"email","115","common","P1","Recommended for general learning coverage"
"world","119","common","P1","Recommended for general learning coverage"
"used","122","common","P1","Recommended for general learning coverage"
"work","125","common","P1","Recommended for general learning coverage"
"most","127","common","P1","Recommended for general learning coverage"
"products","128","common","P1","Recommended for general learning coverage"
"buy","130","common","P1","Recommended for general learning coverage"
"data","131","common","P1","Recommended for general learning coverage"
"them","133","common","P1","Recommended for general learning coverage"
"should","134","common","P1","Recommended for general learning coverage"
"product","135","common","P1","Recommended for general learning coverage"
"system","136","common","P1","Recommended for general learning coverage"
"post","137","common","P1","Recommended for general learning coverage"
"her","138","common","P1","Recommended for general learning coverage"
"policy","142","common","P1","Recommended for general learning coverage"
"such","144","common","P1","Recommended for general learning coverage"
"available","146","common","P1","Recommended for general learning coverage"
"copyright","147","common","P1","Recommended for general learning coverage"
"message","149","common","P1","Recommended for general learning coverage"
"best","151","common","P1","Recommended for general learning coverage"
"software","152","common","P1","Recommended for general learning coverage"
"then","153","common","P1","Recommended for general learning coverage"
"jan","154","common","P1","Recommended for general learning coverage"
"well","157","common","P1","Recommended for general learning coverage"
"info","160","common","P1","Recommended for general learning coverage"
"rights","161","common","P1","Recommended for general learning coverage"
"public","162","common","P1","Recommended for general learning coverage"
"books","163","common","P1","Recommended for general learning coverage"
"high","164","common","P1","Recommended for general learning coverage"
"through","166","common","P1","Recommended for general learning coverage"
"links","169","common","P1","Recommended for general learning coverage"
"review","171","common","P1","Recommended for general learning coverage"
"years","172","common","P1","Recommended for general learning coverage"
"order","173","common","P1","Recommended for general learning coverage"
"privacy","175","common","P1","Recommended for general learning coverage"
"company","178","common","P1","Recommended for general learning coverage"
"group","181","common","P1","Recommended for general learning coverage"
"need","182","common","P1","Recommended for general learning coverage"
"user","184","common","P1","Recommended for general learning coverage"
"said","185","common","P1","Recommended for general learning coverage"
"does","187","common","P1","Recommended for general learning coverage"
"set","188","common","P1","Recommended for general learning coverage"
"under","189","common","P1","Recommended for general learning coverage"
"general","190","common","P1","Recommended for general learning coverage"
"research","191","common","P1","Recommended for general learning coverage"
"university","192","common","P1","Recommended for general learning coverage"
"january","193","common","P1","Recommended for general learning coverage"
"mail","194","common","P1","Recommended for general learning coverage"
"reviews","197","common","P1","Recommended for general learning coverage"
"program","198","common","P1","Recommended for general learning coverage"
"life","199","common","P1","Recommended for general learning coverage"
"know","200","common","P1","Recommended for general learning coverage"
"games","201","common","P1","Recommended for general learning coverage"
"way","202","common","P1","Recommended for general learning coverage"
"days","203","common","P1","Recommended for general learning coverage"
"management","204","common","P1","Recommended for general learning coverage"
"part","206","common","P1","Recommended for general learning coverage"
"could","207","common","P1","Recommended for general learning coverage"
"great","208","common","P1","Recommended for general learning coverage"
"united","209","common","P1","Recommended for general learning coverage"
"real","211","common","P1","Recommended for general learning coverage"
"international","214","common","P1","Recommended for general learning coverage"
"center","215","common","P1","Recommended for general learning coverage"
"ebay","216","common","P1","Recommended for general learning coverage"
"must","217","common","P1","Recommended for general learning coverage"
"travel","219","common","P1","Recommended for general learning coverage"
"comments","220","common","P1","Recommended for general learning coverage"
"made","221","common","P1","Recommended for general learning coverage"
"development","222","common","P1","Recommended for general learning coverage"
"report","223","common","P1","Recommended for general learning coverage"
"member","225","common","P1","Recommended for general learning coverage"
"details","226","common","P1","Recommended for general learning coverage"
"line","227","common","P1","Recommended for general learning coverage"
"terms","228","common","P1","Recommended for general learning coverage"
"hotels","230","common","P1","Recommended for general learning coverage"
"did","231","common","P1","Recommended for general learning coverage"
"send","232","common","P1","Recommended for general learning coverage"
"type","234","common","P1","Recommended for general learning coverage"
"because","235","common","P1","Recommended for general learning coverage"
"local","236","common","P1","Recommended for general learning coverage"
"those","237","common","P1","Recommended for general learning coverage"
"using","238","common","P1","Recommended for general learning coverage"
"results","239","common","P1","Recommended for general learning coverage"
"education","241","common","P1","Recommended for general learning coverage"
"national","242","common","P1","Recommended for general learning coverage"
"design","244","common","P1","Recommended for general learning coverage"
"posted","246","common","P1","Recommended for general learning coverage"
"address","248","common","P1","Recommended for general learning coverage"
"within","250","common","P1","Recommended for general learning coverage"
"states","251","common","P1","Recommended for general learning coverage"
"area","252","common","P1","Recommended for general learning coverage"
"want","253","common","P1","Recommended for general learning coverage"
"dvd","255","common","P1","Recommended for general learning coverage"
"shipping","256","common","P1","Recommended for general learning coverage"
"reserved","257","common","P1","Recommended for general learning coverage"
"subject","258","common","P1","Recommended for general learning coverage"
"between","259","common","P1","Recommended for general learning coverage"
"forum","260","common","P1","Recommended for general learning coverage"
"based","264","common","P1","Recommended for general learning coverage"
"code","266","common","P1","Recommended for general learning coverage"
"show","267","common","P1","Recommended for general learning coverage"
"even","269","common","P1","Recommended for general learning coverage"
"check","271","common","P1","Recommended for general learning coverage"
"special","272","common","P1","Recommended for general learning coverage"
"prices","273","common","P1","Recommended for general learning coverage"
"website","274","common","P1","Recommended for general learning coverage"
"index","275","common","P1","Recommended for general learning coverage"
"being","276","common","P1","Recommended for general learning coverage"
"women","277","common","P1","Recommended for general learning coverage"
"file","280","common","P1","Recommended for general learning coverage"
"link","281","common","P1","Recommended for general learning coverage"
"technology","284","common","P1","Recommended for general learning coverage"
"case","286","common","P1","Recommended for general learning coverage"
"project","287","common","P1","Recommended for general learning coverage"
"pages","289","common","P1","Recommended for general learning coverage"
"version","291","common","P1","Recommended for general learning coverage"
"section","292","common","P1","Recommended for general learning coverage"
"own","293","common","P1","Recommended for general learning coverage"
"found","294","common","P1","Recommended for general learning coverage"
"sports","295","common","P1","Recommended for general learning coverage"
"related","297","common","P1","Recommended for general learning coverage"
"county","301","common","P2","Recommended for general learning coverage"
"american","302","common","P2","Recommended for general learning coverage"
"photo","303","common","P2","Recommended for general learning coverage"
"members","305","common","P2","Recommended for general learning coverage"
"while","307","common","P2","Recommended for general learning coverage"
"care","308","common","P2","Recommended for general learning coverage"
"network","309","common","P2","Recommended for general learning coverage"
"systems","312","common","P2","Recommended for general learning coverage"
"total","314","common","P2","Recommended for general learning coverage"
"following","317","common","P2","Recommended for general learning coverage"
"download","318","common","P2","Recommended for general learning coverage"
"him","320","common","P2","Recommended for general learning coverage"
"without","321","common","P2","Recommended for general learning coverage"
"per","322","common","P2","Recommended for general learning coverage"
"access","323","common","P2","Recommended for general learning coverage"
"think","324","common","P2","Recommended for general learning coverage"
"resources","326","common","P2","Recommended for general learning coverage"
"current","327","common","P2","Recommended for general learning coverage"
"posts","328","common","P2","Recommended for general learning coverage"
"media","330","common","P2","Recommended for general learning coverage"
"law","331","common","P2","Recommended for general learning coverage"
"control","332","common","P2","Recommended for general learning coverage"
"pictures","335","common","P2","Recommended for general learning coverage"
"size","336","common","P2","Recommended for general learning coverage"
"personal","338","common","P2","Recommended for general learning coverage"
"since","339","common","P2","Recommended for general learning coverage"
"including","340","common","P2","Recommended for general learning coverage"
"guide","341","common","P2","Recommended for general learning coverage"
"shop","342","common","P2","Recommended for general learning coverage"
"directory","343","common","P2","Recommended for general learning coverage"
"board","344","common","P2","Recommended for general learning coverage"
"location","345","common","P2","Recommended for general learning coverage"
"change","346","common","P2","Recommended for general learning coverage"
"text","348","common","P2","Recommended for general learning coverage"
"rating","350","common","P2","Recommended for general learning coverage"
"rate","351","common","P2","Recommended for general learning coverage"
"government","352","common","P2","Recommended for general learning coverage"
"children","353","common","P2","Recommended for general learning coverage"
"during","354","common","P2","Recommended for general learning coverage"
"usa","355","common","P2","Recommended for general learning coverage"
"return","356","common","P2","Recommended for general learning coverage"
"students","357","common","P2","Recommended for general learning coverage"
"account","360","common","P2","Recommended for general learning coverage"